genre_combination,label_count,movie_count,percent
Drama,1,2681,10.327824646558033
Comedy,1,1337,5.150429523479333
Drama + Comedy,2,1097,4.225894680072422
Drama + Romance,2,1026,3.952386455564544
Documentary,1,918,3.536345776031434
Drama + Comedy + Romance,3,814,3.135714010555106
Comedy + Romance,2,690,2.6580376747948686
Horror,1,417,1.6063792904195078
Drama + Crime,2,381,1.467699063908471
Drama + Thriller + Crime,3,371,1.4291767787665164
Drama + Thriller,2,351,1.3521322084826073
Thriller + Horror,2,273,1.051658384375361
Drama + War,2,261,1.0054316422050156
Drama + Thriller + Crime + Action,4,226,0.8706036442081745
Comedy + Crime,2,201,0.774297931353288
Drama + Biography,2,198,0.7627412458107015
Thriller + Crime + Action,3,180,0.6934011325551831
Drama + Thriller + Crime + Mystery,4,174,0.6702877614700103
Western,1,173,0.6664355329558149
Thriller + Horror + Mystery,3,160,0.6163565622712739
Documentary + Music,2,148,0.5701298201009284
Horror + Sci-Fi,2,144,0.5547209060441465
Thriller,1,143,0.5508686775299511
Drama + Thriller + Mystery,3,127,0.4892330213028237
Documentary + Biography,2,118,0.4545629646750645
Thriller + Action,2,116,0.4468585076466736
Comedy + Horror,2,115,0.4430062791324781
Comedy + Romance + Musical,3,110,0.42374513656150087
Drama + Music,2,109,0.41989290804730534
Drama + History,2,107,0.41218845101891444
Drama + Comedy + Crime,3,107,0.41218845101891444
Drama + Romance + War,3,106,0.408336222504719
Comedy + Documentary,2,104,0.40063176547632806
Drama + Action,2,104,0.40063176547632806
Drama + Thriller + Action,3,104,0.40063176547632806
Drama + Thriller + Horror,3,99,0.38137062290535073
Drama + War + History,3,96,0.36981393736276436
Comedy + Musical,2,95,0.3659617088485689
Comedy + Family,2,92,0.35440502330598256
Thriller + Crime,2,91,0.350552794791787
Thriller + Mystery,2,86,0.33129165222080975
Action + Adventure + Sci-Fi,3,84,0.32358719519241885
Comedy + Action,2,83,0.3197349666782234
Drama + Romance + Crime,3,80,0.30817828113563694
Drama + Romance + Music,3,80,0.30817828113563694
Drama + Thriller + Crime + Film-Noir,4,79,0.3043260526214415
Drama + Crime + Action,3,78,0.30047382410724605
Drama + Adventure,2,77,0.29662159559305057
Drama + Sport,2,76,0.29276936707885515
Comedy + Crime + Action,3,73,0.2812126815362687
Documentary + History,2,72,0.27736045302207324
Drama + Family,2,72,0.27736045302207324
Drama + Biography + History,3,72,0.27736045302207324
Horror + Fantasy,2,71,0.2735082245078778
Thriller + Crime + Mystery,3,71,0.2735082245078778
Drama + Mystery,2,70,0.26965599599368234
Thriller + Horror + Sci-Fi,3,69,0.26580376747948686
Comedy + Fantasy,2,65,0.25039485342270507
Thriller + Action + Adventure,3,65,0.25039485342270507
Drama + Horror,2,64,0.24654262490850956
Horror + Mystery,2,64,0.24654262490850956
Drama + Comedy + Music,3,64,0.24654262490850956
Drama + Romance + Biography,3,63,0.2426903963943141
Action + Sci-Fi,2,62,0.23883816788011863
Drama + Biography + Music,3,61,0.23498593936592316
Drama + Action + War,3,60,0.23113371085172774
Drama + Romance + Thriller + Crime,4,60,0.23113371085172774
Drama + Romance + Thriller,3,59,0.22728148233753226
Documentary + Sport,2,58,0.2234292538233368
Action + Adventure,2,57,0.21957702530914133
Comedy + Sci-Fi,2,57,0.21957702530914133
Thriller + Action + Sci-Fi,3,57,0.21957702530914133
Comedy + Thriller + Crime + Action,4,57,0.21957702530914133
Sci-Fi,1,56,0.21572479679494586
Comedy + Romance + Fantasy,3,56,0.21572479679494586
Drama + Romance + Musical,3,55,0.21187256828075043
Drama + Thriller + Horror + Mystery,4,55,0.21187256828075043
Comedy + Short,2,54,0.20802033976655496
Drama + Western,2,54,0.20802033976655496
Action,1,53,0.2041681112523595
Documentary + Biography + Music,3,53,0.2041681112523595
Comedy + Sport,2,52,0.20031588273816403
Action + Adventure + Fantasy,3,52,0.20031588273816403
Comedy + Music,2,51,0.19646365422396855
Comedy + Thriller + Crime,3,51,0.19646365422396855
Drama + Comedy + Family,3,51,0.19646365422396855
Drama + Crime + Film-Noir,3,51,0.19646365422396855
Drama + Action + Adventure,3,50,0.1926114257097731
Comedy + Adventure,2,49,0.18875919719557763
Drama + Fantasy,2,49,0.18875919719557763
Drama + Sci-Fi,2,49,0.18875919719557763
Drama + Biography + Sport,3,48,0.18490696868138218
Drama + Crime + Mystery,3,47,0.18105474016718673
Comedy + Horror + Fantasy,3,46,0.17720251165299128
Documentary + Short,2,45,0.17335028313879577
Comedy + Fantasy + Family,3,45,0.17335028313879577
Drama + Crime + Biography,3,45,0.17335028313879577
Drama + Romance + Adventure,3,44,0.16949805462460033
Comedy + Western,2,43,0.16564582611040488
Thriller + Sci-Fi,2,42,0.16179359759620943
Drama + Romance + History,3,42,0.16179359759620943
Drama + Romance + Mystery,3,42,0.16179359759620943
Comedy + Romance + Crime,3,41,0.15794136908201395
Comedy + Horror + Sci-Fi,3,39,0.15023691205362302
Drama + Biography + War + History,4,39,0.15023691205362302
Drama + Comedy + Romance + Music,4,39,0.15023691205362302
Comedy + Adventure + Fantasy + Family + Animation,5,39,0.15023691205362302
Documentary + War,2,38,0.14638468353942757
Drama + Documentary,2,38,0.14638468353942757
Adventure + Fantasy + Family,3,38,0.14638468353942757
Drama + Comedy + Fantasy,3,38,0.14638468353942757
Drama + Comedy + War,3,38,0.14638468353942757
Thriller + Action + Adventure + Sci-Fi,4,38,0.14638468353942757
Drama + Thriller + Crime + Action + Mystery,5,37,0.1425324550252321
Action + Horror + Sci-Fi,3,35,0.13482799799684117
Comedy + Crime + Mystery,3,35,0.13482799799684117
Drama + Comedy + Romance + Fantasy,4,35,0.13482799799684117
Adventure + Family,2,34,0.13097576948264572
Adventure + Fantasy,2,34,0.13097576948264572
Comedy + Romance + Family,3,34,0.13097576948264572
Thriller + Horror + Fantasy,3,34,0.13097576948264572
Documentary + Biography + History,3,33,0.12712354096845027
Documentary + War + History,3,33,0.12712354096845027
Drama + Romance + Fantasy,3,33,0.12712354096845027
Adventure + Fantasy + Family + Animation,4,33,0.12712354096845027
Drama + Comedy + Romance + Musical,4,33,0.12712354096845027
Drama + Romance + Biography + History,4,33,0.12712354096845027
Drama + Romance + Thriller + Mystery,4,33,0.12712354096845027
Short,1,32,0.12327131245425478
Drama + Comedy + Adventure,3,32,0.12327131245425478
Drama + Comedy + Sport,3,32,0.12327131245425478
Comedy + Adventure + Family + Animation,4,32,0.12327131245425478
Drama + Comedy + Thriller + Crime,4,32,0.12327131245425478
Thriller + Action + Horror + Sci-Fi,4,32,0.12327131245425478
Comedy + Thriller + Crime + Mystery,4,31,0.11941908394005932
Adventure,1,30,0.11556685542586387
Drama + Thriller + Action + Adventure,4,30,0.11556685542586387
Crime + Documentary,2,29,0.1117146269116684
Romance + Western,2,29,0.1117146269116684
