genre,token,positive_sample_count,affected_samples,mean_probability_delta,mean_abs_probability_delta,mean_logit_delta
Drama,her,44,10,0.05142666101455688,0.05142666101455688,0.2690004765987396
Drama,the,222,30,-0.04364230732123057,0.045795805255572,-0.21112588445345562
Drama,of,107,29,0.017096463976235224,0.025811848969295108,0.08225820444781205
Drama,in,84,25,0.006660388708114624,0.016307710409164428,0.036733967065811154
Drama,his,49,16,0.003855222836136818,0.01396838016808033,0.02621319703757763
Drama,and,115,29,-0.003575426751169665,0.02438716333487938,-0.008215534275975721
Drama,to,103,30,-0.002237142125765483,0.015848629673322043,-0.007943374911944072
Drama,he,50,15,-0.0019558032353719076,0.012554041544596354,-0.0200917383035024
Drama,with,42,19,-0.0015518524144825182,0.015283721057992233,-0.018163469276930157
Drama,is,55,20,0.0009632647037506103,0.012474584579467773,0.0037004753947257997
Comedy,of,63,24,-0.024505263815323513,0.0353970838089784,-0.12206890620291233
Comedy,his,50,23,0.014808638588241909,0.016606212310169056,0.09229893107777057
Comedy,the,133,31,-0.010381511142176966,0.026898638856026433,-0.045738648503057415
Comedy,he,42,21,0.00822505425839197,0.010864821927888053,0.044656423230965935
Comedy,and,93,27,-0.007736792167027791,0.021544974159311364,-0.07464047493758025
Comedy,to,84,25,0.00448424756526947,0.01712724506855011,0.030373171269893647
Comedy,with,31,16,0.0032040178775787354,0.005854418501257896,0.017135131172835827
Comedy,for,28,18,0.0029523538218604196,0.022369725836647883,0.02414915959040324
Comedy,is,52,23,0.0009712142788845559,0.012065095098122307,0.005578511435052623
Comedy,in,58,24,-0.00034993141889572144,0.012013600518306097,0.002985390524069468
Romance,her,90,22,0.10342241688208147,0.10342241688208147,0.5178093002601103
Romance,his,63,19,0.012253860894002412,0.015072451610314218,0.061090202707993355
Romance,of,84,22,-0.011625363745472649,0.026190212504430252,-0.06414220414378426
Romance,to,146,29,0.011407759682885531,0.029111265108503145,0.06156531798428502
Romance,in,96,28,0.00839783251285553,0.019601177956376756,0.03415652470929282
Romance,is,63,21,0.007503858634403774,0.01871325004668463,0.03333724822316851
Romance,on,44,15,-0.007203425963719686,0.011771510044733683,-0.043484735488891604
Romance,he,53,15,0.005102920532226563,0.010253111521402994,0.020810468991597494
Romance,the,222,27,-0.003938765989409553,0.02211413504900756,-0.038254470736892136
Romance,and,136,28,0.002966738705124174,0.02140581448163305,0.005552725068160466
Thriller,to,116,29,-0.030171192797093557,0.044523645963134434,-0.15476180715807553
Thriller,the,182,28,-0.02630406618118286,0.0382250611271177,-0.23191229972456182
Thriller,and,99,25,-0.02601941868662834,0.03918807074427605,-0.18382806360721587
Thriller,her,36,12,-0.020418203125397365,0.027279114971558254,-0.11147894461949666
Thriller,of,69,30,-0.013644278173645337,0.022364985073606174,-0.08739904090762138
Thriller,in,61,22,-0.008140837773680687,0.02128958177160133,-0.07223152843388644
