genre,row,col,mean_probability_delta
Drama,0,0,0.0033364463597536087
Drama,0,1,0.0011783316731452942
Drama,0,2,0.00017432961612939835
Drama,0,3,0.001013007014989853
Drama,1,0,-0.0022815177217125893
Drama,1,1,-0.005352078936994076
Drama,1,2,-0.015427179634571075
Drama,1,3,-0.004923628643155098
Drama,2,0,-0.004379644058644772
Drama,2,1,-0.01593826152384281
Drama,2,2,-0.015264314599335194
Drama,2,3,-0.002634652890264988
Drama,3,0,-0.010622231289744377
Drama,3,1,-0.012436200864613056
Drama,3,2,-0.011053400114178658
Drama,3,3,-0.00688012782484293
Comedy,0,0,0.01669071801006794
Comedy,0,1,0.007118054665625095
Comedy,0,2,-0.0011864262633025646
Comedy,0,3,-0.0010571363382041454
Comedy,1,0,0.013772062957286835
Comedy,1,1,0.03251513093709946
Comedy,1,2,0.030848652124404907
Comedy,1,3,0.010135955177247524
Comedy,2,0,0.0033183367922902107
Comedy,2,1,0.009282588958740234
Comedy,2,2,-0.00010641803964972496
Comedy,2,3,0.0003609415143728256
Comedy,3,0,0.006840449757874012
Comedy,3,1,-0.015697374939918518
Comedy,3,2,-0.009523598477244377
Comedy,3,3,-0.0009941593743860722
Romance,0,0,0.015259691514074802
Romance,0,1,0.014180942438542843
Romance,0,2,0.011435077525675297
Romance,0,3,0.005224999971687794
Romance,1,0,0.012810619547963142
Romance,1,1,0.03882981091737747
Romance,1,2,0.03323417901992798
Romance,1,3,0.010646207258105278
Romance,2,0,0.01618237793445587
Romance,2,1,0.01988288015127182
Romance,2,2,0.035949744284152985
Romance,2,3,0.01105678640305996
Romance,3,0,0.006855437532067299
Romance,3,1,0.01178332045674324
Romance,3,2,0.006775006651878357
Romance,3,3,0.004232237581163645
Thriller,0,0,0.014541256241500378
Thriller,0,1,0.01940053328871727
Thriller,0,2,0.025771141052246094
Thriller,0,3,0.019506314769387245
Thriller,1,0,0.006151416804641485
Thriller,1,1,0.011556807905435562
Thriller,1,2,0.006819424219429493
Thriller,1,3,0.008605098351836205
Thriller,2,0,0.006795070134103298
Thriller,2,1,0.009697839617729187
Thriller,2,2,0.00607207790017128
Thriller,2,3,0.010053789243102074
Thriller,3,0,0.0009076234418898821
Thriller,3,1,0.01123734749853611
Thriller,3,2,0.017087170854210854
Thriller,3,3,0.010627228766679764
Crime,0,0,0.003283031517639756
Crime,0,1,0.007544423453509808
Crime,0,2,0.002501065842807293
Crime,0,3,-0.001542873214930296
Crime,1,0,0.0015752012841403484
Crime,1,1,0.0030455165542662144
Crime,1,2,-0.003236285410821438
Crime,1,3,-0.0059569720178842545
Crime,2,0,-0.003328734776005149
Crime,2,1,-0.007342204451560974
Crime,2,2,-0.0026062929537147284
Crime,2,3,-0.0019210423342883587
Crime,3,0,-0.0036436484660953283
Crime,3,1,-0.003223518840968609
Crime,3,2,-0.002891687909141183
Crime,3,3,-0.0013054932933300734
Action,0,0,0.020132053643465042
Action,0,1,0.0196140855550766
Action,0,2,0.023726381361484528
Action,0,3,0.019507450982928276
Action,1,0,0.009847034700214863
Action,1,1,0.024917202070355415
Action,1,2,0.03048684634268284
Action,1,3,0.017252830788493156
Action,2,0,0.008016811683773994
Action,2,1,0.026005929335951805
Action,2,2,0.036708179861307144
Action,2,3,0.011695830151438713
Action,3,0,0.012464750558137894
Action,3,1,0.015797225758433342
Action,3,2,0.03193238005042076
Action,3,3,0.016803273931145668
Adventure,0,0,0.009108457714319229
Adventure,0,1,0.006027085240930319
Adventure,0,2,0.002362294588238001
Adventure,0,3,0.009533826261758804
Adventure,1,0,0.008571519516408443
Adventure,1,1,0.017817486077547073
Adventure,1,2,0.018987733870744705
Adventure,1,3,0.015386680141091347
Adventure,2,0,0.01566576212644577
Adventure,2,1,0.028030982241034508
Adventure,2,2,0.02835516445338726
Adventure,2,3,0.017687072977423668
Adventure,3,0,0.011532987467944622
Adventure,3,1,0.019511058926582336
Adventure,3,2,0.023442132398486137
Adventure,3,3,0.01779606193304062
Horror,0,0,0.0033821614924818277
Horror,0,1,0.02616310492157936
Horror,0,2,0.02279859036207199
Horror,0,3,0.003875660477206111
Horror,1,0,0.011763107031583786
Horror,1,1,0.027938945218920708
Horror,1,2,0.03286644443869591
Horror,1,3,0.0034515680745244026
Horror,2,0,0.008370229974389076
Horror,2,1,0.03751764073967934
Horror,2,2,0.03222759813070297
Horror,2,3,0.008691349998116493
Horror,3,0,0.007929369807243347
Horror,3,1,0.03685200214385986
Horror,3,2,0.027262186631560326
Horror,3,3,0.010248084552586079
Documentary,0,0,-0.006328172981739044
Documentary,0,1,-0.007115782704204321
Documentary,0,2,-0.012527888640761375
Documentary,0,3,-0.007690798491239548
Documentary,1,0,-0.012960631400346756
Documentary,1,1,-0.019142070785164833
Documentary,1,2,-0.03471263498067856
Documentary,1,3,-0.01867666095495224
Documentary,2,0,-0.018412932753562927
Documentary,2,1,-0.012572154402732849
Documentary,2,2,-0.007365219295024872
Documentary,2,3,0.0015779968816787004
Documentary,3,0,-0.012190315872430801
Documentary,3,1,-0.00422607222571969
Documentary,3,2,0.003433610312640667
Documentary,3,3,0.0031238598749041557
Mystery,0,0,-0.009382318705320358
Mystery,0,1,-0.00579766184091568
Mystery,0,2,0.008774098940193653
Mystery,0,3,-0.0007742769084870815
Mystery,1,0,-0.0063311271369457245
Mystery,1,1,-0.018869899213314056
Mystery,1,2,-0.018332464620471
Mystery,1,3,-0.0006335864309221506
Mystery,2,0,0.003524445928633213
Mystery,2,1,-0.002654619514942169
Mystery,2,2,-0.010490728542208672
Mystery,2,3,0.005283781327307224
Mystery,3,0,0.0006936053978279233
Mystery,3,1,0.0033575291745364666
Mystery,3,2,0.0018303990364074707
Mystery,3,3,0.0032781227491796017
Sci-Fi,0,0,0.016087865456938744
Sci-Fi,0,1,0.016352107748389244
Sci-Fi,0,2,0.019004760310053825
Sci-Fi,0,3,0.01410738006234169
Sci-Fi,1,0,0.0025678377132862806
Sci-Fi,1,1,0.008060150779783726
Sci-Fi,1,2,0.0039391121827065945
Sci-Fi,1,3,0.013553779572248459
Sci-Fi,2,0,0.017773877829313278
Sci-Fi,2,1,0.011391344480216503
Sci-Fi,2,2,0.010134135372936726
Sci-Fi,2,3,0.010972246527671814
Sci-Fi,3,0,0.011837771162390709
Sci-Fi,3,1,0.019885608926415443
Sci-Fi,3,2,0.021724309772253036
Sci-Fi,3,3,0.014159011654555798
Fantasy,0,0,0.015001201070845127
Fantasy,0,1,0.021324381232261658
Fantasy,0,2,0.025495827198028564
Fantasy,0,3,0.018284227699041367
Fantasy,1,0,0.03629637137055397
Fantasy,1,1,0.033051393926143646
Fantasy,1,2,0.042177218943834305
Fantasy,1,3,0.027606850489974022
Fantasy,2,0,0.031683072447776794
Fantasy,2,1,0.06142021715641022
Fantasy,2,2,0.0561065599322319
Fantasy,2,3,0.026894843205809593
Fantasy,3,0,0.02370629273355007
Fantasy,3,1,0.03488105535507202
Fantasy,3,2,0.04033737629652023
Fantasy,3,3,0.026432165876030922
Family,0,0,0.008461127057671547
Family,0,1,-0.004080251790583134
Family,0,2,-0.011606146581470966
Family,0,3,-0.00026396499015390873
Family,1,0,0.008819044567644596
Family,1,1,0.04374134540557861
Family,1,2,0.053025271743535995
Family,1,3,0.0102758863940835
Family,2,0,0.00985229667276144
Family,2,1,0.035447560250759125
Family,2,2,0.05289855971932411
Family,2,3,0.006002278067171574
Family,3,0,0.020974865183234215
Family,3,1,0.03514377400279045
Family,3,2,0.023215051740407944
Family,3,3,0.018909713253378868
Biography,0,0,-0.003352719359099865
Biography,0,1,-0.001335824839770794
Biography,0,2,0.003978176508098841
Biography,0,3,-0.00010950840078294277
Biography,1,0,-0.0015306684654206038
Biography,1,1,0.0033462385181337595
Biography,1,2,0.002597880782559514
Biography,1,3,0.0027048063930124044
Biography,2,0,-0.0008859792724251747
Biography,2,1,-0.0029946197755634785
Biography,2,2,0.005041151773184538
Biography,2,3,0.0036628900561481714
Biography,3,0,-0.0022708431351929903
Biography,3,1,-0.0038199201226234436
Biography,3,2,-0.0017618858255445957
Biography,3,3,-0.003718479536473751
War,0,0,-0.0008778710616752505
War,0,1,0.0007464049849659204
War,0,2,0.0007026834646239877
War,0,3,-0.0032313456758856773
War,1,0,-0.0013218409148976207
War,1,1,-0.013111770153045654
War,1,2,-0.009787049144506454
War,1,3,0.0019441460026428103
War,2,0,-0.009095515124499798
War,2,1,-0.012875034473836422
War,2,2,-0.013278708793222904
War,2,3,-0.00731790903955698
War,3,0,-0.0016642063856124878
War,3,1,-0.006609110627323389
War,3,2,-0.0053140874952077866
War,3,3,-0.001978395041078329
History,0,0,-0.0034981395583599806
History,0,1,-0.002244260860607028
History,0,2,0.001210555899888277
History,0,3,-2.041342668235302e-06
History,1,0,-0.006356064695864916
History,1,1,-0.008848674595355988
